country,p2011,p2012,p2013,p2014,p2015,p2016,p2017,p2018,p2019,p2020,p2021
United States,311583481.0,313877662.0,316059947.0,318386329.0,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0,331511512.0,332031554.0
Uzbekistan,29339400.0,29774500.0,30243200.0,30757700.0,31298900.0,31847900.0,32388600.0,32956100.0,33580350.0,34232050.0,34915100.0
St. Vincent and the Grenadines,108703.0,108083.0,107450.0,106912.0,106482.0,105963.0,105549.0,105281.0,104924.0,104632.0,104332.0
"Venezuela, RB",29096159.0,29470426.0,29838021.0,30193258.0,30529716.0,30741464.0,30563433.0,29825653.0,28971683.0,28490453.0,28199867.0
British Virgin Islands,27962.0,28421.0,28657.0,28971.0,29366.0,29739.0,30060.0,30335.0,30610.0,30910.0,31122.0
Virgin Islands (U.S.),108290.0,108188.0,108041.0,107882.0,107712.0,107516.0,107281.0,107001.0,106669.0,106290.0,105870.0
Viet Nam,88349117.0,89301326.0,90267739.0,91235504.0,92191398.0,93126529.0,94033048.0,94914330.0,95776716.0,96648685.0,97468029.0
Vanuatu,251294.0,257313.0,263534.0,269927.0,276438.0,283218.0,290239.0,297298.0,304404.0,311685.0,319137.0
World,7054044372.0,7141386257.0,7229303088.0,7317040295.0,7403850164.0,7490415449.0,7576441961.0,7660371127.0,7741774583.0,7820205606.0,7888305693.0
Samoa,196351.0,198124.0,199939.0,201757.0,203571.0,205544.0,207630.0,209701.0,211905.0,214929.0,218764.0
Kosovo,1791000.0,1807106.0,1818117.0,1812771.0,1788196.0,1777557.0,1791003.0,1797085.0,1788878.0,1790133.0,1786038.0
"Yemen, Rep.",25475610.0,26223391.0,26984002.0,27753304.0,28516545.0,29274002.0,30034389.0,30790513.0,31546691.0,32284046.0,32981641.0
South Africa,52443325.0,53145033.0,53873616.0,54729551.0,55876504.0,56422274.0,56641209.0,57339635.0,58087055.0,58801927.0,59392255.0
Zambia,14265814.0,14744658.0,15234976.0,15737793.0,16248230.0,16767761.0,17298054.0,17835893.0,18380477.0,18927715.0,19473125.0
Zimbabwe,13025785.0,13265331.0,13555422.0,13855753.0,14154937.0,14452704.0,14751101.0,15052184.0,15354608.0,15669666.0,15993524.0
